p_station,long,lat,incidentdate,passengers,maincategory,injuredpersons,county,constituency
KILIMANI POLICE STATION,36.7952424,-1.2914363,2014-02-13T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2013-11-28T00:00:00Z,37,INJURY,1,Nairobi,Makadara
LIKONI POLICE STATION,39.6555349,-4.0825334,2014-02-08T00:00:00Z,13,INJURY,1,NA,NA
CENTRAL POLICE STATION-NAKURU,36.0701438,-0.2883555,2014-02-15T00:00:00Z,14,INJURY,5,NA,NA
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-14T00:00:00Z,25,NON INJURY,0,Nairobi,Makadara
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-14T00:00:00Z,29,NON INJURY,0,Nairobi,Makadara
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-12T00:00:00Z,51,NON INJURY,0,Nairobi,Makadara
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-11T00:00:00Z,14,NON INJURY,0,Nairobi,Makadara
KILIMANI POLICE STATION,36.7952424,-1.2914363,2014-02-12T00:00:00Z,29,NON INJURY,0,Nairobi,Dagoretti North
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-10T00:00:00Z,25,NON INJURY,0,Nairobi,Makadara
KILIMANI POLICE STATION,36.7952424,-1.2914363,2014-02-13T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
KASARANI POLICE STATION,36.8932931,-1.2195671,2014-02-14T00:00:00Z,33,NON INJURY,0,Nairobi,Kasarani
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-16T00:00:00Z,14,INJURY,1,Nairobi,Starehe
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-12T00:00:00Z,14,NON INJURY,0,Nairobi,Makadara
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-11T00:00:00Z,29,INJURY,1,Nairobi,Makadara
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2014-02-10T00:00:00Z,14,INJURY,4,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-17T00:00:00Z,46,INJURY,1,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2014-02-09T00:00:00Z,25,INJURY,1,Nairobi,Starehe
KAYOLE POLICE STATION,36.9261067,-1.2644254,2014-02-16T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi Central
KERUGOYA POLICE STATION,37.2821903,-0.4974898999999999,2014-02-13T00:00:00Z,11,NON INJURY,0,NA,NA
KANGUNDO POLICE STATION,37.3150423,-1.2681441,2014-02-15T00:00:00Z,37,INJURY,1,Machakos,Matungulu
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-15T00:00:00Z,37,NON INJURY,0,Nairobi,Starehe
MUTOMO POLICE STATION,38.1150331,-1.5943534,2014-02-16T00:00:00Z,41,NON INJURY,0,NA,NA
PARKLANDS POLICE STATION,36.8121049,-1.2652424,2014-02-15T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
TALA POLICE POST,88.3816113,22.6074448,2014-02-16T00:00:00Z,14,INJURY,1,NA,NA
DIANI POLICE STATION,39.5671508,-4.2827877,2014-02-07T00:00:00Z,13,INJURY,2,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2013-10-14T00:00:00Z,51,INJURY,1,Nairobi,Starehe
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-13T00:00:00Z,13,NON INJURY,0,Nairobi,Makadara
CENTRAL POLICE STATION-MOMBASA,39.6755206,-4.0617792,2014-02-16T00:00:00Z,14,NON INJURY,0,NA,NA
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-11T00:00:00Z,14,NON INJURY,0,Nairobi,Makadara
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2014-02-12T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2014-02-15T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
LANGATA POLICE STATION,36.7420212,-1.3651286,2014-02-12T00:00:00Z,51,NON INJURY,0,Nairobi,Langata
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2013-12-04T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2014-02-11T00:00:00Z,33,NON INJURY,0,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2014-02-15T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2014-02-15T00:00:00Z,14,INJURY,1,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2014-02-11T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2014-02-15T00:00:00Z,21,NON INJURY,0,Nairobi,Starehe
PARKLANDS POLICE STATION,36.8121049,-1.2652424,2014-02-12T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
KIKUYU POLICE STATION,36.6636128,-1.2433244,2012-08-13T00:00:00Z,14,INJURY,0,Kiambu,Kikuyu
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2014-02-17T00:00:00Z,14,INJURY,1,Nairobi,Starehe
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-10T00:00:00Z,29,NON INJURY,0,Nairobi,Makadara
BURU BURU POLICE STATION,36.879342,-1.279412,2014-01-20T00:00:00Z,25,INJURY,0,Nairobi,Embakasi West
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2013-11-18T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-10T00:00:00Z,14,NON INJURY,0,Nairobi,Makadara
PARKLANDS POLICE STATION,36.8121049,-1.2652424,2012-08-22T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
SAGANA POLICE STATION,37.2176074,-0.6638580000000001,2014-02-01T00:00:00Z,14,NON INJURY,0,NA,NA
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2013-12-01T00:00:00Z,33,INJURY,1,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2014-02-15T00:00:00Z,33,NON INJURY,0,Nairobi,Kasarani
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-18T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2014-01-25T00:00:00Z,51,NON INJURY,0,Nairobi,Kasarani
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-08T00:00:00Z,33,NON INJURY,0,Nairobi,Starehe
RUIRU POLICE STATION,36.9593125,-1.1449416,2014-02-16T00:00:00Z,14,NON INJURY,0,Kiambu,Ruiru
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-17T00:00:00Z,13,NON INJURY,0,Nairobi,Starehe
KIAMBU POLICE STATION HQ,36.8322078,-1.1731839,2013-12-20T00:00:00Z,14,NON INJURY,0,Kiambu,Kiambu
KABETE POLICE STATION,36.7262163,-1.2624066,2014-02-02T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-31T00:00:00Z,14,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-29T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-27T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KILIMANI POLICE STATION,36.7952424,-1.2914363,2014-02-17T00:00:00Z,14,INJURY,2,Nairobi,Dagoretti North
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-27T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-27T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
KIKUYU POLICE STATION,36.6636128,-1.2433244,2013-10-27T00:00:00Z,14,INJURY,0,Kiambu,Kikuyu
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-28T00:00:00Z,23,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-28T00:00:00Z,33,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-07T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2014-02-16T00:00:00Z,51,NON INJURY,0,Nairobi,Kasarani
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2013-08-27T00:00:00Z,14,INJURY,0,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2014-02-15T00:00:00Z,37,NON INJURY,0,Nairobi,Kasarani
KABETE POLICE STATION,36.7262163,-1.2624066,2014-02-13T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
KAYOLE POLICE STATION,36.9261067,-1.2644254,2014-02-14T00:00:00Z,2,NON INJURY,0,Nairobi,Embakasi Central
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-27T00:00:00Z,37,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-27T00:00:00Z,51,INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-28T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-31T00:00:00Z,37,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-29T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-01T00:00:00Z,33,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-01T00:00:00Z,29,INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-28T00:00:00Z,14,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-27T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-29T00:00:00Z,58,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-28T00:00:00Z,14,BOTH,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-26T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KABETE POLICE STATION,36.7262163,-1.2624066,2014-01-27T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-31T00:00:00Z,33,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-30T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-28T00:00:00Z,33,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-30T00:00:00Z,33,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-29T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-28T00:00:00Z,33,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-28T00:00:00Z,67,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-28T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
KABETE POLICE STATION,36.7262163,-1.2624066,2014-02-10T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-31T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KABETE POLICE STATION,36.7262163,-1.2624066,2014-01-30T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-03-17T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-31T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
RUIRU POLICE STATION,36.9593125,-1.1449416,2014-02-14T00:00:00Z,14,INJURY,0,Kiambu,Ruiru
JUJA POLICE STATION,37.0176762,-1.1042346,2014-02-11T00:00:00Z,14,INJURY,1,Kiambu,Juja
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2013-12-16T00:00:00Z,51,INJURY,1,Nairobi,Embakasi East
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-08-07T00:00:00Z,46,NON INJURY,0,Nairobi,Starehe
ATHI RIVER POLICE STATION,36.9850203,-1.4518996,2014-01-20T00:00:00Z,41,NON INJURY,0,Machakos,Mavoko
LONDIANI POLICE STATION,35.7665166,-0.2238462,2014-02-17T00:00:00Z,14,NON INJURY,0,NA,NA
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-13T00:00:00Z,14,INJURY,1,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2014-02-14T00:00:00Z,13,NON INJURY,0,Nairobi,Kasarani
MARAGUA POLICE STATION,37.1342352,-0.7965338,2013-05-02T00:00:00Z,14,INJURY,1,Murang'a,Maragwa
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-31T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-10-05T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
THIKA POLICE STATION,37.0754725,-1.03806,2014-01-24T00:00:00Z,14,NON INJURY,0,Kiambu,Thika Town
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-15T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
RUNYENJES POLICE STATION,37.5719346,-0.4241091,2014-02-11T00:00:00Z,14,INJURY,1,NA,NA
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-18T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
GIGIRI POLICE STATION,36.8095575,-1.2363428,2014-02-06T00:00:00Z,51,NON INJURY,0,Nairobi,Westlands
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-03T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-16T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
CAPITAL HILL POLICE STATION,-76.9992568,38.8834422,2014-02-06T00:00:00Z,33,NON INJURY,0,NA,NA
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2014-01-13T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi East
KAYOLE POLICE STATION,36.9261067,-1.2644254,2013-12-27T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi Central
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-01T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KAYOLE POLICE STATION,36.9261067,-1.2644254,2014-02-18T00:00:00Z,14,INJURY,7,Nairobi,Embakasi Central
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-01T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-13T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2014-02-15T00:00:00Z,14,NON INJURY,0,Nairobi,Kasarani
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-01-11T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PARKLANDS POLICE STATION,36.8121049,-1.2652424,2014-01-21T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
PANGANI POLICE STATION,36.8360283,-1.2699695,2014-02-09T00:00:00Z,25,INJURY,1,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2014-01-27T00:00:00Z,14,INJURY,1,Nairobi,Kasarani
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2014-02-15T00:00:00Z,14,INJURY,1,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2014-01-17T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
GILGIL POLICE STATION,36.4385605,-0.7247779000000001,2014-02-20T00:00:00Z,66,INJURY,10,NA,NA
GILGIL POLICE STATION,36.4385605,-0.7247779000000001,2014-02-20T00:00:00Z,67,BOTH,10,NA,NA
KILIMANI POLICE STATION,36.7952424,-1.2914363,2014-02-17T00:00:00Z,14,INJURY,2,Nairobi,Dagoretti North
BURU BURU POLICE STATION,36.879342,-1.279412,2014-02-17T00:00:00Z,33,INJURY,1,Nairobi,Embakasi West
AHERO POLICE STATION HQ,34.9228009,-0.173137,2011-10-30T00:00:00Z,60,INJURY,0,NA,NA
KASARANI POLICE STATION,36.8932931,-1.2195671,2013-11-03T00:00:00Z,51,NON INJURY,0,Nairobi,Kasarani
MERU POLICE STATION,37.6521474,0.04736240000000001,2014-02-20T00:00:00Z,14,BOTH,10,NA,NA
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2012-12-01T00:00:00Z,14,INJURY,1,Nairobi,Makadara
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2014-02-17T00:00:00Z,0,INJURY,2,Nairobi,Starehe
DANDORA POLICE STATION,36.8932522,-1.2558642,2014-02-17T00:00:00Z,14,INJURY,2,Nairobi,Embakasi West
KILIMANI POLICE STATION,36.7952424,-1.2914363,2014-02-17T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
KAYOLE POLICE STATION,36.9261067,-1.2644254,2014-02-16T00:00:00Z,4,NON INJURY,0,Nairobi,Embakasi Central
MUTHANGARI POLICE STATION,36.7727649,-1.2663719,2014-02-19T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
KIKUYU POLICE STATION,36.6636128,-1.2433244,2014-02-18T00:00:00Z,5,INJURY,1,Kiambu,Kikuyu
UPLANDS POLICE STATION,36.63999099999999,-1.0395239,2014-02-15T00:00:00Z,14,INJURY,1,Kiambu,Lari
RUIRU POLICE STATION,36.9593125,-1.1449416,2014-02-19T00:00:00Z,4,NON INJURY,0,Kiambu,Ruiru
KASARANI POLICE STATION,36.8932931,-1.2195671,2014-02-14T00:00:00Z,3,NON INJURY,0,Nairobi,Kasarani
MWINGI POLICE STATION,38.06127550000001,-0.9321472000000001,2014-02-15T00:00:00Z,51,INJURY,1,NA,NA
KILIMANI POLICE STATION,36.7952424,-1.2914363,2014-02-18T00:00:00Z,14,INJURY,1,Nairobi,Dagoretti North
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2014-02-17T00:00:00Z,29,INJURY,2,Nairobi,Makadara
JOGOO ROAD POLICE STATION,36.8609336,-1.2924842,2014-02-12T00:00:00Z,8,NON INJURY,0,Nairobi,Makadara
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2014-02-21T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PARKLANDS POLICE STATION,36.8121049,-1.2652424,2014-02-19T00:00:00Z,14,INJURY,4,Nairobi,Westlands
KASARANI POLICE STATION,36.8932931,-1.2195671,2014-02-22T00:00:00Z,14,NON INJURY,0,Nairobi,Kasarani
KILIMANI POLICE STATION,36.7952424,-1.2914363,2014-02-14T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
ATHI RIVER POLICE STATION,36.9850203,-1.4518996,2014-02-16T00:00:00Z,14,NON INJURY,0,Machakos,Mavoko
PANGANI POLICE STATION,36.8360283,-1.2699695,2014-02-21T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
ISINYA POLICE STATION,36.84907889999999,-1.6871772,2014-02-21T00:00:00Z,14,NON INJURY,0,Kajiado,Kajiado East
PANGANI POLICE STATION,36.8360283,-1.2699695,2014-02-20T00:00:00Z,26,INJURY,1,Nairobi,Starehe
KABETE POLICE STATION,36.7262163,-1.2624066,2014-02-10T00:00:00Z,51,INJURY,1,Nairobi,Westlands
KITUI POLICE STATION,38.06127550000001,-0.9321472000000001,2014-02-16T00:00:00Z,46,INJURY,1,NA,NA
KASARANI POLICE STATION,36.8932931,-1.2195671,2014-02-21T00:00:00Z,14,NON INJURY,0,Nairobi,Kasarani
JUJA POLICE STATION,37.0176762,-1.1042346,2014-02-21T00:00:00Z,14,INJURY,0,Kiambu,Juja
